States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,75,0,147,2020-07-08,11.7401,92.6586
Andhra Pradesh,9745,252,21197,2020-07-08,15.9129,79.74
Arunachal Pradesh,105,2,276,2020-07-08,28.218,94.7278
Assam,8329,14,12522,2020-07-08,26.2006,92.9376
Bihar,9284,104,12570,2020-07-08,25.0961,85.3131
Chandigarh,401,7,494,2020-07-08,30.7333,76.7794
Chhattisgarh,2751,14,3415,2020-07-08,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,183,0,405,2020-07-08,,
Delhi,74217,3165,102831,2020-07-08,28.7041,77.1025
Goa,1156,8,1903,2020-07-08,15.2993,74.124
Gujarat,26720,1977,37550,2020-07-08,22.2587,71.1924
Haryana,13645,279,17999,2020-07-08,29.0588,76.0856
Himachal Pradesh,790,11,1083,2020-07-08,31.1048,77.1734
Jammu and Kashmir,5399,143,8931,2020-07-08,33.7782,76.5762
Jharkhand,2104,22,2996,2020-07-08,23.6102,85.2799
Karnataka,11098,416,26815,2020-07-08,15.3173,75.7139
Kerala,3452,27,5894,2020-07-08,10.8505,76.2711
Ladakh,836,1,1041,2020-07-08,34.2996,78.2932
Madhya Pradesh,11768,622,15627,2020-07-08,22.9734,78.6569
Maharashtra,118558,9250,217121,2020-07-08,19.7515,75.7139
Manipur,771,0,1430,2020-07-08,24.6637,93.9063
Meghalaya,43,1,80,2020-07-08,25.467,91.3662
Mizoram,133,0,197,2020-07-08,23.1645,92.9376
Nagaland,243,0,625,2020-07-08,26.1584,94.5624
Odisha,6703,42,10097,2020-07-08,20.9517,85.0985
Puducherry,434,14,930,2020-07-08,11.9416,79.8083
Punjab,4554,175,6749,2020-07-08,31.1471,75.3412
Rajasthan,16575,472,21404,2020-07-08,27.0238,74.2179
Sikkim,70,0,125,2020-07-08,,
Tamil Nadu,71116,1636,118594,2020-07-08,11.1271,78.6569
Telangana,16287,313,27612,2020-07-08,,
Tripura,1248,1,1704,2020-07-08,23.9408,91.9882
Uttarakhand,2621,43,3230,2020-07-08,30.0668,79.0193
Uttar Pradesh,19627,827,29968,2020-07-08,26.8467,80.9462
West Bengal,15790,804,23837,2020-07-08,22.9868,87.855
