States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,33,2020-06-06,11.7401,92.6586
Andhra Pradesh,2576,73,4303,2020-06-06,15.9129,79.74
Arunachal Pradesh,1,0,45,2020-06-06,28.218,94.7278
Assam,498,4,2153,2020-06-06,26.2006,92.9376
Bihar,2225,29,4596,2020-06-06,25.0961,85.3131
Chandigarh,222,5,304,2020-06-06,30.7333,76.7794
Chhattisgarh,244,2,879,2020-06-06,21.2787,81.8661
Dadar Nagar Haveli,1,0,14,2020-06-06,,
Delhi,10315,708,26334,2020-06-06,28.7041,77.1025
Goa,65,0,196,2020-06-06,15.2993,74.124
Gujarat,13003,1190,19094,2020-06-06,22.2587,71.1924
Haryana,2134,24,3597,2020-06-06,29.0588,76.0856
Himachal Pradesh,189,5,393,2020-06-06,31.1048,77.1734
Jammu and Kashmir,1086,36,3324,2020-06-06,33.7782,76.5762
Jharkhand,410,7,881,2020-06-06,23.6102,85.2799
Karnataka,1688,57,4835,2020-06-06,15.3173,75.7139
Kerala,712,14,1699,2020-06-06,10.8505,76.2711
Ladakh,48,1,97,2020-06-06,34.2996,78.2932
Madhya Pradesh,5878,384,8996,2020-06-06,22.9734,78.6569
Maharashtra,35156,2849,80229,2020-06-06,19.7515,75.7139
Manipur,41,0,132,2020-06-06,24.6637,93.9063
Meghalaya,13,1,33,2020-06-06,25.467,91.3662
Mizoram,1,0,22,2020-06-06,23.1645,92.9376
Nagaland,0,0,94,2020-06-06,26.1584,94.5624
Odisha,1604,8,2608,2020-06-06,20.9517,85.0985
Puducherry,36,0,99,2020-06-06,11.9416,79.8083
Punjab,2069,48,2461,2020-06-06,31.1471,75.3412
Rajasthan,7359,218,10084,2020-06-06,27.0238,74.2179
Sikkim,0,0,3,2020-06-06,,
Tamil Nadu,15762,232,28694,2020-06-06,11.1271,78.6569
Telengana,1627,113,3290,2020-06-06,18.1124,79.0193
Tripura,173,0,692,2020-06-06,23.9408,91.9882
Uttarakhand,344,11,1215,2020-06-06,30.0668,79.0193
Uttar Pradesh,5648,257,9733,2020-06-06,26.8467,80.9462
West Bengal,2912,366,7303,2020-06-06,22.9868,87.855
