States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,37,0,48,2020-06-22,11.7401,92.6586
Andhra Pradesh,4331,106,8999,2020-06-22,15.9129,79.74
Arunachal Pradesh,15,0,135,2020-06-22,28.218,94.7278
Assam,3360,9,5388,2020-06-22,26.2006,92.9376
Bihar,5580,53,7612,2020-06-22,25.0961,85.3131
Chandigarh,316,6,406,2020-06-22,30.7333,76.7794
Chhattisgarh,1447,11,2275,2020-06-22,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,26,0,88,2020-06-22,,
Delhi,33013,2175,59746,2020-06-22,28.7041,77.1025
Goa,129,0,754,2020-06-22,15.2993,74.124
Gujarat,19349,1663,27260,2020-06-22,22.2587,71.1924
Haryana,5557,160,10635,2020-06-22,29.0588,76.0856
Himachal Pradesh,425,8,673,2020-06-22,31.1048,77.1734
Jammu and Kashmir,3382,82,5956,2020-06-22,33.7782,76.5762
Jharkhand,1406,11,2073,2020-06-22,23.6102,85.2799
Karnataka,5618,137,9150,2020-06-22,15.3173,75.7139
Kerala,1661,21,3172,2020-06-22,10.8505,76.2711
Ladakh,134,1,837,2020-06-22,34.2996,78.2932
Madhya Pradesh,9015,515,11903,2020-06-22,22.9734,78.6569
Maharashtra,65744,6170,132075,2020-06-22,19.7515,75.7139
Manipur,250,0,841,2020-06-22,24.6637,93.9063
Meghalaya,33,1,44,2020-06-22,25.467,91.3662
Mizoram,9,0,141,2020-06-22,23.1645,92.9376
Nagaland,141,0,211,2020-06-22,26.1584,94.5624
Odisha,3720,14,5160,2020-06-22,20.9517,85.0985
Puducherry,140,8,366,2020-06-22,11.9416,79.8083
Punjab,2700,99,4074,2020-06-22,31.1471,75.3412
Rajasthan,11597,349,14930,2020-06-22,27.0238,74.2179
Sikkim,25,0,78,2020-06-22,,
Tamil Nadu,32754,757,59377,2020-06-22,11.1271,78.6569
Telangana,3731,210,7802,2020-06-22,,
Tripura,759,1,1221,2020-06-22,23.9408,91.9882
Uttarakhand,1500,27,2344,2020-06-22,30.0668,79.0193
Uttar Pradesh,10995,550,17731,2020-06-22,26.8467,80.9462
West Bengal,8297,555,13945,2020-06-22,22.9868,87.855
